trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120302,000525.SZ,12.9486,13.1094,12.8772,13.0737,12.9486,0.12509999999999977,0.9661,30315.88,44109.8847,1.0967,1.09,13.1755,27042.398,13.1004,26102.803,13.0372,24683.3015,12.8385,23692.6857,12.6266,20840.1743,,,,
20120305,000525.SZ,13.0915,13.9309,13.0469,13.7791,13.0737,0.7053999999999991,5.3956,72939.42,111149.8955,2.6387,2.7,13.263,36082.894,13.1897,30833.142,13.1149,28417.2154,12.9014,25265.2914,12.6995,23075.2887,,,,
20120306,000525.SZ,13.5827,13.9845,13.4666,13.8952,13.7791,0.1161000000000012,0.8426,39155.8,60226.8934,1.4165,1.09,13.3826,38481.008,13.2978,32988.442,13.1946,30094.09,12.9669,26176.3024,12.7549,23665.3287,,,,
20120307,000525.SZ,13.7791,13.9399,13.6273,13.6541,13.8952,-0.2411000000000012,-1.7351,17716.63,27312.8255,0.6409,0.46,13.4701,37223.856,13.3639,32268.348,13.2564,30064.6062,13.0358,26300.4229,12.8081,23512.7297,,,,
20120308,000525.SZ,13.7523,13.7791,13.6184,13.7255,13.6541,0.07140000000000057,0.5229,22587.84,34645.139,0.8172,0.61,13.6255,36543.114,13.4291,32215.286,13.3209,29830.13,13.0987,26577.6152,12.8632,23834.4743,,,,
20120309,000525.SZ,13.7255,13.8595,13.7077,13.8148,13.7255,0.08929999999999971,0.6506,18126.24,27934.8595,0.6558,0.5,13.7737,34105.186,13.4746,30573.792,13.3979,29870.3946,13.1617,26585.859,12.9144,24024.2833,,,,
20120312,000525.SZ,13.9577,14.2614,13.8952,14.0917,13.8148,0.2768999999999995,2.0044,34440.84,54333.029,1.246,1.01,13.8363,26405.47,13.5496,31244.182,13.4824,30602.9538,13.2352,27228.1014,12.9766,24702.878,,,,
20120313,000525.SZ,14.1095,14.1274,13.8416,14.0738,14.0917,-0.01789999999999914,-0.127,15914.01,24966.9859,0.5757,0.6,13.872,21757.112,13.6273,30119.06,13.5593,30048.7654,13.296,27223.3648,13.0403,24911.3773,,,,
20120314,000525.SZ,14.1095,14.1185,13.0915,13.2255,14.0738,-0.8483,-6.0275,37003.22,56409.1671,1.3387,1.7,13.7863,25614.43,13.6282,31419.143,13.549,30238.1531,13.3211,27560.3295,13.0769,25895.9393,,,,
20120315,000525.SZ,13.1719,13.4487,12.5021,12.9486,13.2255,-0.2768999999999995,-2.0937,41924.87,60142.8223,1.5167,1.64,13.6309,29481.836,13.6282,33012.475,13.5188,31329.5323,13.3296,28394.9167,13.0939,26578.509,,,,
